户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
2室2厅1卫,103.28,南北,高,简装修,2006,有 ,商品房,普通住宅,,板楼,安宁,1,137.0,13265.0
2室1厅1卫,80.0,南北,高,简装修,1990,有 ,经济适用房,普通住宅,平层,,城关,0,110.0,13750.0
2室2厅1卫,88.7,东北,中,精装修,2012,无 ,个人产权,普通住宅,平层,钢混,城关,0,148.0,16685.0
4室2厅2卫,138.0,南北,中,,,有 ,,,,,榆中,0,79.0,5725.0
2室2厅1卫,97.0,南,中,毛坯,2015,有 ,个人产权,普通住宅,平层,钢混,城关,1,120.0,12371.0
3室2厅1卫,98.0,南北,低,,,无 ,,,,,七里河,0,103.0,10510.0
3室2厅2卫,139.21,南北,高,毛坯,2016,有 ,商品房,普通住宅,平层,塔楼,城关,1,175.0,12571.0
2室2厅1卫,98.0,南北,中,毛坯,2018,有 ,个人产权,普通住宅,平层,塔板结合,城关,0,95.0,9694.0
2室2厅1卫,89.1,南北,中,毛坯,,有 ,个人产权,普通住宅,平层,钢混,榆中,0,55.0,6173.0
1室1厅1卫,45.0,南,低,,,无 ,个人产权,,平层,,城关,0,53.5,11889.0
3室2厅1卫,90.0,南北,高,简装修,2010,无 ,商品房,普通住宅,平层,钢混,城关,1,73.8,8200.0
1室1厅1卫,46.0,西,低,中装修,2002,无 ,商品房,普通住宅,平层,,城关,1,52.0,11304.0
2室2厅1卫,91.0,南北,中,中装修,1998,有 ,商品房,普通住宅,平层,钢混,安宁,0,103.0,11319.0
3室2厅1卫,110.0,南,中,,,有 ,,,,,榆中,0,57.0,5182.0
2室1厅1卫,99.22,南,低,简装修,2004,有 ,商品房,普通住宅,,板楼,七里河,1,132.0,13304.0
1室0厅1卫,39.0,西,中,简装修,2000,无 ,个人产权,普通住宅,平层,钢混,城关,1,58.0,14872.0
