户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
2室1厅1卫,80平米,南,中层,简装修,2012年,有 ,个人产权,,平层,塔板结合,城关,1,103, 12875元/平米 
2室1厅1卫,67.17平米,东西,低层,中装修,2004年,无 ,个人产权,普通住宅,平层,板楼,安宁,0,70, 10421元/平米 
3室2厅2卫,156.92平米,南北,中层,精装修,2014年,有 ,商品房,普通住宅,平层,板楼,城关,1,261.8, 16684元/平米 
3室2厅1卫,94平米,南北,中层,精装修,2020年,有 ,商品房(免税),普通住宅,平层,板楼,榆中,0,62, 6596元/平米 
2室2厅1卫,98平米,南北,低层,精装修,2013年,有 ,商品房(免税),普通住宅,平层,板楼,城关,0,129, 13163元/平米 
3室2厅1卫,135.1平米,南北,低层,精装修,2009年,有 ,个人产权,普通住宅,平层,板楼,城关,1,180, 13323元/平米 
2室2厅1卫,96.1平米,东,低层,精装修,2002年,有 ,个人产权,普通住宅,平层,板楼,城关,1,126, 13111元/平米 
3室2厅1卫,108.7平米,南北,高层,简装修,2004年,有 ,个人产权,普通住宅,平层,板楼,城关,1,98, 9016元/平米 
2室2厅1卫,104.38平米,西南,高层,精装修,2012年,有 ,商品房,,,板楼,城关,1,168, 16095元/平米 
2室2厅1卫,96.14平米,南,低层,毛坯,2016年,有 ,商品房,普通住宅,平层,板楼,西固,0,117, 12170元/平米 
2室2厅1卫,93.69平米,东南,低楼层,暂无,,,,,,,西固,1,98,10460元/平米
2室2厅1卫,94平米,南北,高层,精装修,2012年,有 ,商品房,普通住宅,,板楼,七里河,1,137.9, 14670元/平米 
1室1厅1卫,71.59平米,东南,高层,简装修,2010年,有 ,商品房,普通住宅,,板楼,安宁,1,98, 13689元/平米 
2室2厅1卫,85.4平米,东西,中层,简装修,2002年,无 ,个人产权,普通住宅,平层,钢混,安宁,1,93, 10890元/平米 
2室1厅1卫,100平米,南,高层,中装修,2010年,有 ,个人产权,普通住宅,,,城关,1,149, 14900元/平米 
3室2厅2卫,119.91平米,南北,低楼层,暂无,,,,,,,安宁,0,132,11008元/平米
3室2厅2卫,100平米,南北,低层,精装修,2015年,有 ,个人产权,普通住宅,平层,板楼,城关,0,112, 11200元/平米 
3室2厅2卫,143.43平米,东北,高层,简装修,2008年,有 ,商品房(免税),普通住宅,平层,板楼,城关,1,236, 16454元/平米 
3室2厅2卫,164平米,南北,中层,毛坯,2015年,有 ,商品房,普通住宅,平层,板楼,城关,0,181, 11037元/平米 
2室0厅1卫,58平米,南,低层,简装修,2000年,无 ,个人产权,普通住宅,平层,板楼,城关,0,63, 10862元/平米 
2室2厅1卫,82.26平米,南北,高层,中装修,2002年,无 ,个人产权,普通住宅,平层,钢混,七里河,1,93, 11306元/平米 
2室2厅1卫,103平米,南北,中层,精装修,2005年,无 ,商品房,普通住宅,平层,板楼,城关,1,135, 13107元/平米 
3室2厅2卫,123.53平米,东北,中层,精装修,2012年,有 ,个人产权,普通住宅,平层,板楼,城关,1,195, 15786元/平米 
2室2厅1卫,70平米,西,低层,简装修,2001年,无 ,个人产权,普通住宅,平层,钢混,城关,0,86, 12286元/平米 
2室2厅1卫,102平米,南,高层,精装修,2012年,有 ,商品房,普通住宅,,板楼,安宁,0,143.8, 14098元/平米 
2室1厅1卫,88.00平米,南北,低楼层,暂无,,,,,,,七里河区,0,100,11364元/平米
